"","sumPrecip","station_id","genLineType","Lat","Long","STATION_DESCRIPTIVE_NAME","rides"
"160",0.2,"40160","Multiple Lines",41.8768,-87.631739,"LaSalle/Van Buren (Brown, Orange, Purple & Pink lines)",667
"161",0.2,"40170","Multiple Lines",41.885269,-87.666969,"Ashland (Green & Pink lines)",1389
"162",0.2,"40180","Blue Line",41.872108,-87.791602,"Oak Park (Blue Line)",411
"163",0.2,"40190","Red Line",41.831191,-87.630636,"Sox-35th (Red Line)",6696
"164",0.2,"40210","Pink Line",41.854517,-87.675975,"Damen (Pink Line)",1188
"165",0.2,"40220","Blue Line",41.875478,-87.688436,"Western (Blue Line - Forest Park Branch)",909
"166",0.2,"40230","Blue Line",41.984246,-87.838028,"Cumberland (Blue Line)",2088
"167",0.2,"40240","Red Line",41.750419,-87.625112,"79th (Red Line)",3504
"168",0.2,"40250","Blue Line",41.874341,-87.70604,"Kedzie-Homan (Blue Line)",1054
"169",0.2,"40260","Multiple Lines",41.88574,-87.627835,"State/Lake (Brown, Green, Orange, Pink & Purple lines)",9281
"170",0.2,"40270","Purple Line",42.033456,-87.679538,"Main (Purple Line)",655
"171",0.2,"40280","Green Line",41.887389,-87.76565,"Central (Green Line)",1146
"172",0.2,"40290","Green Line",41.77886,-87.663766,"Ashland/63rd (Green Line)",574
"173",0.2,"40300","Green Line",41.821732,-87.621371,"Indiana (Green Line)",360
"174",0.2,"40310","Orange Line",41.804546,-87.684019,"Western (Orange Line)",2204
"175",0.2,"40320","Blue Line",41.903355,-87.666496,"Division (Blue Line)",3427
"176",0.2,"40330","Red Line",41.891665,-87.628021,"Grand (Red Line)",12122
"177",0.2,"40340","Red Line",41.977984,-87.658668,"Berwyn (Red Line)",0
"178",0.2,"40350","Blue Line",41.875474,-87.649707,"UIC-Halsted (Blue Line)",1848
"179",0.2,"40360","Brown Line",41.943744,-87.663619,"Southport (Brown Line)",2178
"180",0.2,"40370","Blue Line",41.883164,-87.62944,"Washington (Blue Line)",8137
"181",0.2,"40380","Multiple Lines",41.885737,-87.630886,"Clark/Lake (Blue, Brown, Green, Orange, Purple & Pink lines)",7515
"182",0.2,"40390","Blue Line",41.874257,-87.817318,"Forest Park (Blue Line)",1300
"183",0.2,"40400","Purple Line",42.058282,-87.683337,"Noyes (Purple Line)",546
"184",0.2,"40420","Pink Line",41.85182,-87.745336,"Cicero (Pink Line)",1070
"185",0.2,"40430","Blue Line",41.875539,-87.640984,"Clinton (Blue Line)",1361
"186",0.2,"40440","Pink Line",41.854109,-87.694774,"California (Pink Line)",968
"187",0.2,"40450","Red Line",41.722377,-87.624342,"95th/Dan Ryan (Red Line)",5011
"188",0.2,"40460","Multiple Lines",41.888969,-87.633924,"Merchandise Mart (Brown & Purple lines)",2194
"189",0.2,"40470","Blue Line",41.87592,-87.659458,"Racine (Blue Line)",1122
"190",0.2,"40480","Green Line",41.886519,-87.744698,"Cicero (Green Line)",578
"191",0.2,"40490","Blue Line",41.891189,-87.647578,"Grand (Blue Line)",2225
"192",0.2,"40510","Green Line",41.795172,-87.618327,"Garfield (Green Line)",811
"193",0.2,"40520","Purple Line",42.05416,-87.68356,"Foster (Purple Line)",732
"194",0.2,"40530","Multiple Lines",41.932732,-87.653131,"Diversey (Brown & Purple lines)",2689
"195",0.2,"40540","Multiple Lines",41.964273,-87.657588,"Wilson (Red & Purple lines)",5948
"196",0.2,"40550","Blue Line",41.952925,-87.729229,"Irving Park (Blue Line)",1929
"197",0.2,"40560","Red Line",41.878153,-87.627596,"Jackson (Red Line)",3819
"198",0.2,"40570","Blue Line",41.921939,-87.69689,"California  (Blue Line)",2967
"199",0.2,"40570","Blue Line",41.921939,-87.69689,"California (Blue Line)",2967
"200",0.2,"40580","Pink Line",41.85177331,-87.75669201,"54th/Cermak (Pink Line)",1680
"201",0.2,"40590","Blue Line",41.909744,-87.677437,"Damen (Blue Line)",4545
"202",0.2,"40600","Pink Line",41.853751,-87.733258,"Kostner (Pink Line)",287
"203",0.2,"40610","Green Line",41.887159,-87.783661,"Ridgeland (Green Line)",419
"204",0.2,"40630","Red Line",41.90392,-87.631412,"Clark/Division (Red Line)",6891
"205",0.2,"40650","Red Line",41.910655,-87.649177,"North/Clybourn (Red Line)",4271
"206",0.2,"40660","Multiple Lines",41.918217,-87.652644,"Armitage (Brown & Purple lines)",3071
"207",0.2,"40670","Blue Line",41.916157,-87.687364,"Western (Blue Line - O'Hare Branch)",2620
"208",0.2,"40680","Multiple Lines",41.879507,-87.626037,"Adams/Wabash (Brown, Green, Orange, Pink & Purple lines)",4930
"209",0.2,"40690","Purple Line",42.041655,-87.681602,"Dempster (Purple Line)",610
"210",0.2,"40700","Green Line",41.887163,-87.754986,"Laramie (Green Line)",602
"211",0.2,"40710","Multiple Lines",41.89681,-87.635924,"Chicago (Brown & Purple lines)",3062
"212",0.2,"40720","Green Line",41.780309,-87.605857,"Cottage Grove (Green Line)",332
"213",0.2,"40730","Multiple Lines",41.882695,-87.63378,"Washington/Wells (Brown, Orange, Purple & Pink lines)",1272
"214",0.2,"40740","Pink Line",41.854225,-87.685129,"Western (Pink Line)",724
"215",0.2,"40750","Blue Line",41.98227,-87.8089,"Harlem (Blue Line - O'Hare Branch)",1239
"216",0.2,"40760","Red Line",41.993664,-87.659202,"Granville (Red Line)",2096
"217",0.2,"40770","Red Line",41.969139,-87.658493,"Lawrence (Red Line)",0
"218",0.2,"40780","Pink Line",41.853839,-87.714842,"Central Park (Pink Line)",645
"219",0.2,"40790","Blue Line",41.880703,-87.629378,"Monroe (Blue Line)",2305
"220",0.2,"40800","Multiple Lines",41.910409,-87.639302,"Sedgwick (Brown & Purple lines)",2913
"221",0.2,"40810","Blue Line",41.875706,-87.673932,"Illinois Medical District (Blue Line)",989
"222",0.2,"40820","Blue Line",41.983507,-87.859388,"Rosemont (Blue Line)",5270
"223",0.2,"40830","Pink Line",41.857908,-87.669147,"18th (Pink Line)",2528
"224",0.2,"40840","Purple Line",42.027612,-87.678329,"South Boulevard (Purple Line)",383
"225",0.2,"40850","Multiple Lines",41.876862,-87.628196,"Harold Washington Library-State/Van Buren (Brown, Orange, Purple & Pink lines)",3086
"226",0.2,"40870","Brown Line",41.966046,-87.701644,"Francisco (Brown Line)",786
"227",0.2,"40880","Red Line",41.990259,-87.659076,"Thorndale (Red Line)",1664
"228",0.2,"40890","Blue Line",41.97766526,-87.90422307,"O'Hare (Blue Line)",13624
"229",0.2,"40900","Multiple Lines",42.019063,-87.672892,"Howard (Red, Purple & Yellow lines)",3533
"230",0.2,"40910","Red Line",41.780536,-87.630952,"63rd (Red Line)",1720
"231",0.2,"40920","Blue Line",41.873797,-87.725663,"Pulaski (Blue Line)",1485
"232",0.2,"40930","Orange Line",41.78661,-87.737875,"Midway (Orange Line)",4988
"233",0.2,"40940","Green Line",41.778943,-87.644244,"Halsted (Green Line)",254
"234",0.2,"40960","Orange Line",41.799756,-87.724493,"Pulaski (Orange Line)",2686
"235",0.2,"40970","Blue Line",41.871574,-87.745154,"Cicero (Blue Line)",713
"236",0.2,"40980","Blue Line",41.87349,-87.806961,"Harlem (Blue Line - Forest Park Branch)",400
"237",0.2,"40990","Red Line",41.768367,-87.625724,"69th (Red Line)",2449
"238",0.2,"41000","Red Line",41.853206,-87.630968,"Cermak-Chinatown (Red Line)",6438
"239",0.2,"41010","Brown Line",41.966115,-87.6941,"Rockwell (Brown Line)",768
"240",0.2,"41020","Blue Line",41.929728,-87.708541,"Logan Square (Blue Line)",4138
"241",0.2,"41030","Pink Line",41.871551,-87.66953,"Polk (Pink Line)",811
"242",0.2,"41040","Pink Line",41.853964,-87.705408,"Kedzie (Pink Line)",803
"243",0.2,"41050","Purple Line",42.073153,-87.69073,"Linden (Purple Line)",597
"244",0.2,"41060","Orange Line",41.839234,-87.665317,"Ashland (Orange Line)",990
"245",0.2,"41070","Green Line",41.884321,-87.706155,"Kedzie (Green Line)",741
"246",0.2,"41080","Green Line",41.809209,-87.618826,"47th (Green Line)",613
"247",0.2,"41090","Red Line",41.880745,-87.627696,"Monroe (Red Line)",3973
"248",0.2,"41120","Green Line",41.831677,-87.625826,"35th-Bronzeville-IIT (Green Line)",979
"249",0.2,"41130","Orange Line",41.84678,-87.648088,"Halsted (Orange Line)",1229
"250",0.2,"41140","Green Line",41.78013,-87.615546,"King Drive (Green Line)",213
"251",0.2,"41150","Orange Line",41.804236,-87.704406,"Kedzie (Orange Line)",2175
"252",0.2,"41160","Multiple Lines",41.885678,-87.641782,"Clinton (Green & Pink lines)",1775
"253",0.2,"41170","Red Line",41.79542,-87.631157,"Garfield (Red Line)",1693
"254",0.2,"41180","Brown Line",41.965996,-87.708821,"Kedzie (Brown Line)",1311
"255",0.2,"41190","Red Line",42.015876,-87.669092,"Jarvis (Red Line)",1118
"256",0.2,"41200","Red Line",41.973453,-87.65853,"Argyle (Red Line)",3733
"257",0.2,"41210","Multiple Lines",41.936033,-87.653266,"Wellington (Brown & Purple lines)",1252
"258",0.2,"41220","Multiple Lines",41.925051,-87.652866,"Fullerton (Red, Brown & Purple lines)",8598
"259",0.2,"41230","Red Line",41.810318,-87.63094,"47th (Red Line)",1595
"260",0.2,"41240","Blue Line",41.94738,-87.71906,"Addison (Blue Line)",1532
"261",0.2,"41250","Purple Line",42.063987,-87.685617,"Central (Purple Line)",393
"262",0.2,"41260","Green Line",41.887293,-87.774135,"Austin (Green Line)",872
"263",0.2,"41270","Green Line",41.816462,-87.619021,"43rd (Green Line)",473
"264",0.2,"41280","Blue Line",41.970634,-87.760892,"Jefferson Park (Blue Line)",3460
"265",0.2,"41290","Brown Line",41.967901,-87.713065,"Kimball (Brown Line)",2419
"266",0.2,"41300","Red Line",42.001073,-87.661061,"Loyola (Red Line)",3167
"267",0.2,"41310","Brown Line",41.943623,-87.670907,"Paulina (Brown Line)",1594
"268",0.2,"41320","Multiple Lines",41.939751,-87.65338,"Belmont (Red, Brown & Purple lines)",11097
"269",0.2,"41330","Blue Line",41.961539,-87.743574,"Montrose (Blue Line)",1106
"270",0.2,"41340","Blue Line",41.875568,-87.631722,"LaSalle (Blue Line)",2194
"271",0.2,"41350","Green Line",41.886988,-87.793783,"Oak Park (Green Line)",680
"272",0.2,"41360","Green Line",41.88422,-87.696234,"California (Green Line)",571
"273",0.2,"41380","Red Line",41.983504,-87.65884,"Bryn Mawr (Red Line)",2979
"274",0.2,"41400","Multiple Lines",41.867368,-87.627402,"Roosevelt (Red, Orange & Green lines)",9728
"275",0.2,"41400","Multiple Lines",41.867405,-87.62659,"Roosevelt (Red, Orange & Green lines)",9728
"276",0.2,"41410","Blue Line",41.896075,-87.655214,"Chicago (Blue Line)",1807
"277",0.2,"41420","Red Line",41.947428,-87.653626,"Addison (Red Line)",11420
"278",0.2,"41430","Red Line",41.735372,-87.624717,"87th (Red Line)",2159
"279",0.2,"41440","Brown Line",41.947028,-87.674642,"Addison (Brown Line)",863
"280",0.2,"41450","Red Line",41.896671,-87.628176,"Chicago (Red Line)",9960
"281",0.2,"41460","Brown Line",41.954521,-87.674868,"Irving Park (Brown Line)",1533
"282",0.2,"41480","Brown Line",41.966163,-87.688502,"Western (Brown Line)",2282
"283",0.2,"41490","Red Line",41.874039,-87.627479,"Harrison (Red Line)",4113
"284",0.2,"41500","Brown Line",41.961756,-87.675047,"Montrose (Brown Line)",1177
"285",0.2,"41510","Multiple Lines",41.885586,-87.652193,"Morgan (Green & Pink lines)",3749
"286",0.2,"41660","Red Line",41.884809,-87.627813,"Lake (Red Line)",13389
"287",0.2,"41670","Green Line",41.884904,-87.716523,"Conservatory (Green Line)",1039
"288",0.2,"41680","Yellow Line",42.02624348,-87.74722084,"Oakton-Skokie (Yellow Line)",351
"289",0.2,"41690","Green Line",41.853115,-87.626402,"Cermak-McCormick Place (Green Line)",1915
"290",0.2,"41700","Multiple Lines",41.88322,-87.626189,"Washington/Wabash (Brown, Green, Orange, Purple & Pink lines)",6749
"291",0.3,"40010","Blue Line",41.870851,-87.776812,"Austin (Blue Line)",526
"292",0.3,"40020","Green Line",41.886848,-87.803176,"Harlem/Lake (Green Line)",1469
"293",0.3,"40030","Green Line",41.885412,-87.725404,"Pulaski (Green Line)",711
"294",0.3,"40040","Multiple Lines",41.878723,-87.63374,"Quincy/Wells (Brown, Orange, Purple & Pink lines)",1775
"295",0.3,"40050","Purple Line",42.04771,-87.683543,"Davis (Purple Line)",1475
"296",0.3,"40060","Blue Line",41.938132,-87.712359,"Belmont (Blue Line)",2367
"297",0.3,"40070","Blue Line",41.878183,-87.629296,"Jackson (Blue Line)",1870
"298",0.3,"40080","Red Line",41.953775,-87.654929,"Sheridan (Red Line)",2051
"299",0.3,"40090","Brown Line",41.966286,-87.678639,"Damen (Brown Line)",906
"300",0.3,"40100","Red Line",42.008362,-87.665909,"Morse (Red Line)",2388
"301",0.3,"40120","Orange Line",41.829353,-87.680622,"35th/Archer (Orange Line)",1195
"302",0.3,"40130","Green Line",41.80209,-87.618487,"51st (Green Line)",410
"303",0.3,"40140","Yellow Line",42.038951,-87.751919,"Dempster-Skokie  (Yellow Line)",694
